a1,a2,a3
308137.8603226722,276803.2080774165,10292.402824135477
308959.29183300986,0.0,405398.67053960194
0.0,619905.9962646187,0.0
0.0,0.0,0.0
177903.54687604157,0.0,647482.313823125
0.0,0.0,0.0
116585.71139382881,0.0,544625.9874969457
0.0,248306.3996921364,455485.22540896456
601016.2662519767,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
591583.0040075259,0.0,82056.9624566378
0.0,0.0,0.0
211016.789457708,400500.4925400351,0.0
640310.619928679,41022.18342251091,0.0
0.0,0.0,826893.8497228347
655418.1124531719,0.0,0.0
506736.7528309828,386.99698010095983,142815.89105429582
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
52765.30187571462,8949.124866188216,487012.8276932348
0.0,0.0,0.0
6825.116395250647,183696.26118617257,373188.4698051984
0.0,666050.5713400245,0.0
0.0,544435.2030146815,0.0
0.0,141579.43690134,280351.8616509811
210122.0422267662,438981.557162744,0.0
380285.8734528602,0.0,410744.42511809565
176274.60444311696,410664.9642168421,0.0
18168.72350593288,0.0,560277.9683900604
665566.3514506572,0.0,0.0
676.3907004683878,82138.51574979318,454651.09450334153
0.0,222928.33413356048,422809.13724496367
0.0,0.0,782098.2669535257
0.0,0.0,0.0
270134.7876214576,0.0,256390.49050279387
0.0,596012.8720713044,0.0
76070.89554478531,0.0,514330.29049660556
0.0,0.0,0.0
0.0,580591.3426216757,0.0
595042.1562059026,0.0,16580.140350754733
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,919970.3446691886
0.0,0.0,0.0
607124.3236665545,0.0,0.0
0.0,619394.7015201476,0.0
0.0,0.0,571250.2768393133
19580.134421110648,309851.4699463528,261961.71330732488
637299.3838664361,0.0,0.0
658244.8567832197,0.0,0.0
0.0,538050.3614401037,0.0
143729.42326694747,504213.4137572032,0.0
403509.86788920825,235717.98548090045,0.0
0.0,600538.638507588,0.0
0.0,93751.24476347327,411400.1595007355
0.0,0.0,0.0
0.0,0.0,865877.1068546225
0.0,0.0,0.0
9457.688618433094,251192.1975457699,384684.63429348293
0.0,0.0,413897.6837527106
0.0,0.0,0.0
0.0,79778.93040199194,1373171.1100995503
0.0,637918.8465707487,0.0
0.0,0.0,611847.3218648704
0.0,0.0,440115.08216329047
10280.3977795606,170021.81581983634,488442.5436339267
384165.7973153216,24260.750778205802,170326.62760318798
0.0,0.0,0.0
0.0,240426.57599530384,389091.23486377415
138432.8429694032,0.0,573296.0942534612
0.0,0.0,555897.2305032584
0.0,0.0,820323.440545023
0.0,0.0,0.0
0.0,0.0,0.0
0.0,336027.65312141465,267235.8437960624
703196.4032371986,0.0,0.0
499947.3584152988,105743.92697634672,0.0
0.0,0.0,495160.3601242148
245861.71926605277,338247.25687021186,0.0
0.0,0.0,0.0
478.0763902111943,19609.17411612574,456653.74502689653
104962.85290359943,0.0,561077.3282158852
0.0,0.0,553775.1924679396
0.0,10004.283095620729,598739.5688695656
0.0,355810.2162637672,323376.22258106084
657522.7786215574,0.0,0.0
0.0,543223.343560425,15310.446370692734
43351.446510722926,48187.741855452376,374525.8569529394
676856.3788285924,0.0,0.0
0.0,0.0,703944.1562251553
0.0,0.0,0.0
0.0,558272.0468794671,48086.61258663542
0.0,0.0,767371.4264059301
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,395044.7397403502
620038.45485689,0.0,836.3042044967823
10352.815972156563,0.0,619748.8204412126
203777.34398017832,0.0,483122.4062281109
0.0,576518.3005172303,0.0
0.0,185798.82087457093,310885.56018828216
233037.58820231375,0.0,635183.0232929831
18869.712251326713,457047.81618148915,65953.97995778211
0.0,0.0,641069.5469036778
0.0,578640.0793027463,0.0
0.0,0.0,0.0
7118.180587503519,360409.91926665045,254474.91003621326
629880.9613735009,753.074662875304,4080.6239416134235
645178.3575311969,0.0,0.0
1731.6520270556705,551905.1100025828,0.0
654896.2705725064,2405.1066109775506,0.0
0.0,0.0,0.0
0.0,604866.8761041195,0.0
0.0,0.0,0.0
633874.409870483,0.0,0.0
0.0,0.0,548860.7837318617
0.0,47639.81681173417,621008.5280961188
0.0,0.0,0.0
0.0,0.0,0.0
16722.818885089546,0.0,724282.0134557044
0.0,0.0,0.0
0.0,0.0,0.0
0.0,635493.7712367014,0.0
0.0,529053.1462511907,0.0
682699.0415908438,0.0,0.0
0.0,536272.4952227027,0.0
0.0,0.0,359704.949537604
0.0,0.0,563908.750995544
256784.49070242516,0.0,421144.45719047
0.0,0.0,0.0
0.0,0.0,1066988.023629529
658134.9830686023,0.0,0.0
643.2896696419228,353656.49375371664,168148.1333202853
0.0,304200.75519413315,333781.0113120143
0.0,0.0,0.0
0.0,376892.8581458888,312042.1507769441
0.0,0.0,0.0
0.0,448557.39871759975,168543.94693997718
0.0,539612.5337693818,23587.579890321635
104138.9342076554,0.0,690541.5245111985
